# N = 1000
# h = 0.01
# t0 = 0
# tf = 10
# time, Sun, Earth
0             -0.0001184353 -5.921763e-05 
0.01          -0.000118435  -5.921763e-05 
0.02          -0.0001184343 -5.921763e-05 
0.03          -0.0001184332 -5.921762e-05 
0.04          -0.0001184316 -5.921762e-05 
0.05          -0.0001184295 -5.921762e-05 
0.06          -0.000118427  -5.921762e-05 
0.07          -0.0001184241 -5.921762e-05 
0.08          -0.0001184208 -5.921761e-05 
0.09          -0.0001184171 -5.921761e-05 
0.1           -0.0001184129 -5.92176e-05  
0.11          -0.0001184084 -5.92176e-05  
0.12          -0.0001184036 -5.92176e-05  
0.13          -0.0001183984 -5.921759e-05 
0.14          -0.0001183929 -5.921758e-05 
0.15          -0.0001183871 -5.921758e-05 
0.16          -0.000118381  -5.921757e-05 
0.17          -0.0001183747 -5.921757e-05 
0.18          -0.0001183682 -5.921756e-05 
0.19          -0.0001183615 -5.921755e-05 
0.2           -0.0001183546 -5.921755e-05 
0.21          -0.0001183475 -5.921754e-05 
0.22          -0.0001183404 -5.921753e-05 
0.23          -0.0001183331 -5.921753e-05 
0.24          -0.0001183259 -5.921752e-05 
0.25          -0.0001183185 -5.921751e-05 
0.26          -0.0001183112 -5.92175e-05  
0.27          -0.0001183039 -5.92175e-05  
0.28          -0.0001182967 -5.921749e-05 
0.29          -0.0001182896 -5.921748e-05 
0.3           -0.0001182826 -5.921748e-05 
0.31          -0.0001182757 -5.921747e-05 
0.32          -0.000118269  -5.921746e-05 
0.33          -0.0001182625 -5.921746e-05 
0.34          -0.0001182562 -5.921745e-05 
0.35          -0.0001182501 -5.921744e-05 
0.36          -0.0001182443 -5.921744e-05 
0.37          -0.0001182389 -5.921743e-05 
0.38          -0.0001182337 -5.921743e-05 
0.39          -0.0001182289 -5.921742e-05 
0.4           -0.0001182244 -5.921742e-05 
0.41          -0.0001182203 -5.921741e-05 
0.42          -0.0001182166 -5.921741e-05 
0.43          -0.0001182133 -5.921741e-05 
0.44          -0.0001182104 -5.921741e-05 
0.45          -0.0001182079 -5.92174e-05  
0.46          -0.0001182058 -5.92174e-05  
0.47          -0.0001182042 -5.92174e-05  
0.48          -0.0001182031 -5.92174e-05  
0.49          -0.0001182024 -5.92174e-05  
0.5           -0.0001182022 -5.92174e-05  
0.51          -0.0001182024 -5.92174e-05  
0.52          -0.0001182031 -5.92174e-05  
0.53          -0.0001182042 -5.92174e-05  
0.54          -0.0001182058 -5.92174e-05  
0.55          -0.0001182078 -5.92174e-05  
0.56          -0.0001182103 -5.92174e-05  
0.57          -0.0001182132 -5.921741e-05 
0.58          -0.0001182165 -5.921741e-05 
0.59          -0.0001182202 -5.921741e-05 
0.6           -0.0001182243 -5.921742e-05 
0.61          -0.0001182287 -5.921742e-05 
0.62          -0.0001182335 -5.921743e-05 
0.63          -0.0001182387 -5.921743e-05 
0.64          -0.0001182442 -5.921744e-05 
0.65          -0.0001182499 -5.921744e-05 
0.66          -0.000118256  -5.921745e-05 
0.67          -0.0001182622 -5.921746e-05 
0.68          -0.0001182687 -5.921746e-05 
0.69          -0.0001182754 -5.921747e-05 
0.7           -0.0001182823 -5.921748e-05 
0.71          -0.0001182893 -5.921748e-05 
0.72          -0.0001182965 -5.921749e-05 
0.73          -0.0001183037 -5.92175e-05  
0.74          -0.000118311  -5.92175e-05  
0.75          -0.0001183183 -5.921751e-05 
0.76          -0.0001183256 -5.921752e-05 
0.77          -0.0001183329 -5.921753e-05 
0.78          -0.0001183401 -5.921753e-05 
0.79          -0.0001183473 -5.921754e-05 
0.8           -0.0001183543 -5.921755e-05 
0.81          -0.0001183612 -5.921755e-05 
0.82          -0.000118368  -5.921756e-05 
0.83          -0.0001183745 -5.921757e-05 
0.84          -0.0001183808 -5.921757e-05 
0.85          -0.0001183869 -5.921758e-05 
0.86          -0.0001183927 -5.921758e-05 
0.87          -0.0001183982 -5.921759e-05 
0.88          -0.0001184034 -5.921759e-05 
0.89          -0.0001184083 -5.92176e-05  
0.9           -0.0001184128 -5.92176e-05  
0.91          -0.0001184169 -5.921761e-05 
0.92          -0.0001184207 -5.921761e-05 
0.93          -0.000118424  -5.921762e-05 
0.94          -0.000118427  -5.921762e-05 
0.95          -0.0001184295 -5.921762e-05 
0.96          -0.0001184315 -5.921762e-05 
0.97          -0.0001184331 -5.921762e-05 
0.98          -0.0001184343 -5.921763e-05 
0.99          -0.000118435  -5.921763e-05 
1             -0.0001184353 -5.921763e-05 
1.01          -0.000118435  -5.921763e-05 
1.02          -0.0001184344 -5.921763e-05 
1.03          -0.0001184332 -5.921762e-05 
1.04          -0.0001184316 -5.921762e-05 
1.05          -0.0001184296 -5.921762e-05 
1.06          -0.0001184271 -5.921762e-05 
1.07          -0.0001184242 -5.921762e-05 
1.08          -0.0001184209 -5.921761e-05 
1.09          -0.0001184172 -5.921761e-05 
1.1           -0.0001184131 -5.92176e-05  
1.11          -0.0001184086 -5.92176e-05  
1.12          -0.0001184037 -5.92176e-05  
1.13          -0.0001183986 -5.921759e-05 
1.14          -0.0001183931 -5.921758e-05 
1.15          -0.0001183873 -5.921758e-05 
1.16          -0.0001183812 -5.921757e-05 
1.17          -0.0001183749 -5.921757e-05 
1.18          -0.0001183684 -5.921756e-05 
1.19          -0.0001183617 -5.921755e-05 
1.2           -0.0001183548 -5.921755e-05 
1.21          -0.0001183478 -5.921754e-05 
1.22          -0.0001183406 -5.921753e-05 
1.23          -0.0001183334 -5.921753e-05 
1.24          -0.0001183261 -5.921752e-05 
1.25          -0.0001183188 -5.921751e-05 
1.26          -0.0001183115 -5.92175e-05  
1.27          -0.0001183042 -5.92175e-05  
1.28          -0.000118297  -5.921749e-05 
1.29          -0.0001182898 -5.921748e-05 
1.3           -0.0001182828 -5.921748e-05 
1.31          -0.0001182759 -5.921747e-05 
1.32          -0.0001182692 -5.921746e-05 
1.33          -0.0001182627 -5.921746e-05 
1.34          -0.0001182564 -5.921745e-05 
1.35          -0.0001182503 -5.921744e-05 
1.36          -0.0001182445 -5.921744e-05 
1.37          -0.000118239  -5.921743e-05 
1.38          -0.0001182339 -5.921743e-05 
1.39          -0.000118229  -5.921742e-05 
1.4           -0.0001182245 -5.921742e-05 
1.41          -0.0001182204 -5.921741e-05 
1.42          -0.0001182167 -5.921741e-05 
1.43          -0.0001182134 -5.921741e-05 
1.44          -0.0001182104 -5.921741e-05 
1.45          -0.000118208  -5.92174e-05  
1.46          -0.0001182059 -5.92174e-05  
1.47          -0.0001182043 -5.92174e-05  
1.48          -0.0001182031 -5.92174e-05  
